dataset	kernel	Random_prediction_(AUROC)	RFC_(AUROC)	accuracy_score	run_time
COX2	NA	0.500	0.489	0.8297872340425532	1090.1239252090454
PROTEINS	NA	0.500	0.764	0.7219730941704036	1277.1591889858246
BZR	NA	0.500	0.713	0.7777777777777778	1070.2590992450714
DHFR	NA	0.500	0.507	0.5394736842105263	1147.731363773346
