dataset	Random_prediction_(AUROC=)	RFC_(AUROC=)	accuracy_score(y_test, y_pred)	run_time
BZR	0.500	0.570	0.8271604938271605	2.4971790313720703
COX2	0.500	0.560	0.7659574468085106	3.9306588172912598
DHFR	0.500	0.566	0.618421052631579	9.747079133987427
PROTEINS	0.500	0.799	0.7219730941704036	18.770454168319702
