dataset,time_taken,t3-t2,accuracy,auc,iter
BZR,1.9619,14.291,0.9012,0.8539,4
COX2,2.8062,14.901,0.8617,0.5028,2
DHFR,6.0084,14.8104,0.7039,0.6089,2
ENZYMES,3.539,14.6384,0.3417,0.6201,4
MUTAG,0.3965,13.6643,0.9737,0.9846,2
NCI1,90.9169,26.5772,0.6934,0.7396,2
PROTEINS,12.9297,16.1336,0.7848,0.8256,2
