dataset,time_taken,t3-t2,accuracy,auc,iter
BZR,20.5705,15.8785,0.9136,0.7855,2
COX2,29.1835,14.1107,0.8723,0.498,3
DHFR,57.3903,14.9238,0.7039,0.7026,4
ENZYMES,25.5141,14.9116,0.35,0.6514,2
MUTAG,4.2971,13.3892,0.9211,0.9808,2
NCI1,235.5931,23.805,0.6715,0.713,2
PROTEINS,68.5317,15.8771,0.8161,0.8209,4
