dataset,time_taken,t3-t2,accuracy,auc,iter
BZR,134.4248,14.1397,0.9259,0.7988,2
DHFR,171.3788,16.8518,0.7237,0.7101,4
ENZYMES,232.4228,15.2514,0.35,0.6888,4
MUTAG,26.0919,13.1797,0.9211,0.9815,2
PROTEINS,668.8117,19.0971,0.7803,0.8062,4
