dataset	Random_prediction_(AUROC=)	RFC_(AUROC=)	accuracy_score	run_time
BZR	0.500	0.596	0.8271604938271605	1098.308311700821
COX2	0.500	0.396	0.7553191489361702	1092.0549421310425
DHFR	0.500	0.534	0.625	1147.4192700386047
FRANKENSTEIN	0.500	0.607	0.5956221198156681	2051.620940923691
