C1,C2,C3,C4,C5,C6,C7,C8
BZR,2.6703941822052,16.187004804611206,0.7530864197530864,0.5475409836065573,1,3,61  0 20  0
BZR,2.9599015712738037,14.099401712417603,0.7530864197530864,0.5475409836065573,1,3,61  0 20  0
BZR,5.070332765579224,15.737818002700806,0.7530864197530864,0.5475409836065573,1,3,61  0 20  0
BZR,4.369174003601074,15.513188362121582,0.7530864197530864,0.5475409836065573,1,3,61  0 20  0
BZR,2.947441816329956,15.615564107894897,0.7530864197530864,0.5475409836065573,1,3,61  0 20  0
BZR,2.9563956260681152,17.293581008911133,0.7777777777777778,0.7786885245901639,1,5,57  4 14  6
BZR,2.957998752593994,17.22813391685486,0.7777777777777778,0.7754098360655736,1,5,57  4 14  6
BZR,2.9336702823638916,17.917752981185913,0.7777777777777778,0.7754098360655736,1,5,57  4 14  6
BZR,2.932021379470825,18.910768508911133,0.7777777777777778,0.7754098360655736,1,5,57  4 14  6
BZR,2.94864821434021,19.313644409179688,0.7777777777777778,0.7754098360655736,1,5,57  4 14  6
BZR,3.0464468002319336,20.786269903182983,0.7654320987654321,0.548360655737705,1,10,57  4 15  5
BZR,3.139775276184082,21.475621700286865,0.7654320987654321,0.548360655737705,1,10,57  4 15  5
BZR,2.9889488220214844,20.15107035636902,0.7654320987654321,0.548360655737705,1,10,57  4 15  5
BZR,3.0667388439178467,20.141559600830078,0.7654320987654321,0.548360655737705,1,10,57  4 15  5
BZR,3.0692427158355713,19.94863247871399,0.7654320987654321,0.548360655737705,1,10,57  4 15  5
BZR,3.0880117416381836,19.962292194366455,0.8024691358024691,0.5110655737704919,1,20,60  1 15  5
BZR,3.0533363819122314,19.95076823234558,0.8024691358024691,0.5110655737704919,1,20,60  1 15  5
BZR,3.074986696243286,19.792027711868286,0.8024691358024691,0.5110655737704919,1,20,60  1 15  5
BZR,3.1098215579986572,20.933644771575928,0.8024691358024691,0.5110655737704919,1,20,60  1 15  5
BZR,4.08088231086731,20.15242028236389,0.8024691358024691,0.5110655737704919,1,20,60  1 15  5
BZR,3.3566396236419678,19.026115894317627,0.7530864197530864,0.5,1,50,61  0 20  0
BZR,3.3557558059692383,19.203227758407593,0.7530864197530864,0.5,1,50,61  0 20  0
BZR,3.352762222290039,19.04780864715576,0.7530864197530864,0.5,1,50,61  0 20  0
BZR,3.3239519596099854,19.285881996154785,0.7530864197530864,0.5,1,50,61  0 20  0
BZR,3.6342251300811768,20.41336488723755,0.7530864197530864,0.5,1,50,61  0 20  0
ENZYMES,5.116924524307251,20.319122791290283,0.14166666666666666,0.48409478256115673,1,3, 0  2  2  0  0 18  0  1  8  0  0 13  0  0  5  0  0 15  0  0  0  0  1 17
ENZYMES,5.131993055343628,20.52702784538269,0.14166666666666666,0.48409478256115673,1,3, 0  2  2  0  0 18  0  1  8  0  0 13  0  0  5  0  0 15  0  0  0  0  1 17
ENZYMES,5.10372257232666,20.274770736694336,0.14166666666666666,0.48409478256115673,1,3, 0  2  2  0  0 18  0  1  8  0  0 13  0  0  5  0  0 15  0  0  0  0  1 17
ENZYMES,5.087045907974243,20.60401225090027,0.14166666666666666,0.48409478256115673,1,3, 0  2  2  0  0 18  0  1  8  0  0 13  0  0  5  0  0 15  0  0  0  0  1 17
ENZYMES,5.141770124435425,20.10822606086731,0.14166666666666666,0.48284478256115676,1,3, 0  2  2  0  0 18  0  1  8  0  0 13  0  0  5  0  0 15  0  0  0  0  1 17
ENZYMES,5.117885112762451,20.69840908050537,0.25,0.5605726231808396,1,5,1 3 3 5 3 7 0 4 7 2 2 7 0 2 7 4 4 3 0 3 3 4 1 7 0 4 5 5 5 5 0 0 1 4 0 9
ENZYMES,5.344997406005859,21.47049307823181,0.25833333333333336,0.562798502666504,1,5,2 2 3 6 3 6 1 4 7 4 2 4 0 1 7 6 4 2 1 3 3 4 1 6 0 4 5 5 5 5 0 0 1 4 0 9
ENZYMES,5.1090333461761475,21.41552233695984,0.25,0.5605726231808396,1,5,1 3 3 5 3 7 0 4 7 2 2 7 0 2 7 4 4 3 0 3 3 4 1 7 0 4 5 5 5 5 0 0 1 4 0 9
ENZYMES,5.149170875549316,21.161375284194946,0.25833333333333336,0.567354143645499,1,5,1 3 3 6 3 6 1 4 7 4 2 4 0 2 7 5 4 2 0 3 3 5 1 6 0 4 5 5 5 5 0 0 1 4 0 9
ENZYMES,5.179491758346558,20.601982831954956,0.25833333333333336,0.567354143645499,1,5,1 3 3 6 3 6 1 4 7 4 2 4 0 2 7 5 4 2 0 3 3 5 1 6 0 4 5 5 5 5 0 0 1 4 0 9
ENZYMES,5.250213146209717,21.346997499465942,0.225,0.5902091295089601,1,10,1 2 3 3 8 5 1 4 7 4 2 4 0 2 6 3 7 2 0 3 2 4 2 7 1 4 7 4 6 2 1 0 1 3 3 6
ENZYMES,5.280386686325073,21.547582149505615,0.225,0.5961656843141933,1,10,3 2 3 1 8 5 1 4 7 4 2 4 0 2 6 3 7 2 2 3 2 2 2 7 2 4 7 3 6 2 2 0 1 2 3 6
ENZYMES,5.251569509506226,21.573162078857422,0.225,0.5902999065605213,1,10,1 2 3 3 8 5 1 4 7 4 2 4 0 2 6 3 7 2 0 3 2 4 2 7 1 4 7 4 6 2 1 0 1 3 3 6
ENZYMES,5.245994567871094,21.497955322265625,0.225,0.5902999065605213,1,10,1 2 3 3 8 5 1 4 7 4 2 4 0 2 6 3 7 2 0 3 2 4 2 7 1 4 7 4 6 2 1 0 1 3 3 6
ENZYMES,5.368597507476807,21.315492868423462,0.225,0.5902999065605213,1,10,1 2 3 3 8 5 1 4 7 4 2 4 0 2 6 3 7 2 0 3 2 4 2 7 1 4 7 4 6 2 1 0 1 3 3 6
ENZYMES,5.36909031867981,21.50166916847229,0.225,0.5877310080736919,1,20, 4  0 10  1  3  4  1  3  9  3  0  6  0  1 11  2  3  3  3  3  3  2  1  6
ENZYMES,5.288738489151001,21.049468994140625,0.225,0.5877310080736919,1,20, 4  0 10  1  3  4  1  3  9  3  0  6  0  1 11  2  3  3  3  3  3  2  1  6
ENZYMES,5.306816577911377,21.468772888183594,0.225,0.5900912114142874,1,20, 4  0 10  1  3  4  1  3  9  3  0  6  0  1 11  2  3  3  3  3  3  2  1  6
ENZYMES,5.319055080413818,21.29506230354309,0.225,0.5889373862478574,1,20, 4  0 10  1  3  4  1  3  9  3  0  6  0  1 11  2  3  3  3  3  3  2  1  6
ENZYMES,5.362967491149902,21.28652024269104,0.225,0.5877310080736919,1,20, 4  0 10  1  3  4  1  3  9  3  0  6  0  1 11  2  3  3  3  3  3  2  1  6
ENZYMES,5.62347936630249,19.875307083129883,0.125,0.5036390590398537,1,50, 1  0  0  0  0 21  0  0  0  0  0 22  0  0  0  0  0 20  0  0  0  0  0 18
ENZYMES,5.63571572303772,19.961583852767944,0.125,0.5036390590398537,1,50, 1  0  0  0  0 21  0  0  0  0  0 22  0  0  0  0  0 20  0  0  0  0  0 18
ENZYMES,5.6701202392578125,19.920145988464355,0.125,0.5036390590398537,1,50, 1  0  0  0  0 21  0  0  0  0  0 22  0  0  0  0  0 20  0  0  0  0  0 18
ENZYMES,5.60738730430603,19.977240085601807,0.125,0.5036390590398537,1,50, 1  0  0  0  0 21  0  0  0  0  0 22  0  0  0  0  0 20  0  0  0  0  0 18
ENZYMES,5.461741209030151,19.746760368347168,0.125,0.5036390590398537,1,50, 1  0  0  0  0 21  0  0  0  0  0 22  0  0  0  0  0 20  0  0  0  0  0 18
