C1,C2,C3,C4,C5,C6,C7
2.4783947467803955,24.370675802230835,0.582716049382716,0.5635343005030254,1,3,192 127  42  44
8.392540454864502,43.21260905265808,0.582716049382716,0.5635343005030254,1,3,192 127  42  44
8.137794494628906,30.662585735321045,0.582716049382716,0.5635343005030254,1,3,192 127  42  44
2.676281213760376,31.021803855895996,0.582716049382716,0.5635343005030254,1,3,192 127  42  44
2.370798349380493,23.644652605056763,0.582716049382716,0.5635343005030254,1,3,192 127  42  44
7.686514377593994,40.88713455200195,0.7876543209876543,0.5617117445505577,1,5,319   0  86   0
8.231822490692139,40.27500510215759,0.7876543209876543,0.5617117445505577,1,5,319   0  86   0
8.261608839035034,43.508870363235474,0.7876543209876543,0.5617117445505577,1,5,319   0  86   0
8.52643895149231,41.768653869628906,0.7876543209876543,0.5617117445505577,1,5,319   0  86   0
8.09034776687622,41.27602028846741,0.7876543209876543,0.5617117445505577,1,5,319   0  86   0
8.629349946975708,19.681431770324707,0.7876543209876543,0.6002041262666764,1,10,319   0  86   0
2.5303146839141846,27.463843822479248,0.7876543209876543,0.6002041262666764,1,10,319   0  86   0
8.840682029724121,21.629725456237793,0.7876543209876543,0.6002041262666764,1,10,319   0  86   0
3.2667903900146484,19.735973596572876,0.7876543209876543,0.6002041262666764,1,10,319   0  86   0
2.5823912620544434,23.262569904327393,0.7876543209876543,0.6002041262666764,1,10,319   0  86   0
2.5453927516937256,32.1883487701416,0.7876543209876543,0.5875555879565503,1,20,319   0  86   0
8.99496841430664,16.988672733306885,0.7876543209876543,0.5875555879565503,1,20,319   0  86   0
2.587494134902954,21.87959599494934,0.7876543209876543,0.5866443099803164,1,20,319   0  86   0
2.6357603073120117,24.85482883453369,0.7876543209876543,0.5875555879565503,1,20,319   0  86   0
3.2982542514801025,26.41827702522278,0.7876543209876543,0.5875555879565503,1,20,319   0  86   0
2.733886480331421,23.355875730514526,0.6567901234567901,0.5669789312531894,1,50,232  87  52  34
3.0062928199768066,22.01283884048462,0.6567901234567901,0.5669789312531894,1,50,232  87  52  34
2.6715309619903564,24.05799961090088,0.6567901234567901,0.5669789312531894,1,50,232  87  52  34
2.718888759613037,24.453343868255615,0.6567901234567901,0.5669789312531894,1,50,232  87  52  34
2.7218024730682373,24.1818265914917,0.6567901234567901,0.5669789312531894,1,50,232  87  52  34
