dataset	kernel	Random_prediction_(AUROC)	RFC_(AUROC)	accuracy_score	run_time
BZR	Weisfeiler Lehman	0.500	0.538	0.8271604938271605	2.4943594932556152
COX2	Weisfeiler Lehman	0.500	0.557	0.7659574468085106	4.699170112609863
DD	Weisfeiler Lehman	0.500	0.794	0.7288135593220338	830.4176630973816
DHFR	Weisfeiler Lehman	0.500	0.608	0.618421052631579	9.819468975067139
NCI1	Weisfeiler Lehman	0.500	0.656	0.6021897810218978	166.2516417503357
PROTEINS	Weisfeiler Lehman	0.500	0.801	0.7130044843049327	19.021390676498413
